goos: darwin
goarch: arm64
pkg: github.com/phiryll/lexy
BenchmarkEmpty/put-10                	589732752	         2.037 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	590439188	         2.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	591286045	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	574199881	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	591880143	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	591520068	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	591327930	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	589272057	         2.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	589785649	         2.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	586402306	         2.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	590355558	         2.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/put-10                	587860794	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	588680529	         2.044 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591521887	         2.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592575643	         2.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591208117	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	588329743	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592563086	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591814830	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592597590	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591672332	         2.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592460691	         2.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591441229	         2.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592709793	         2.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	589643527	         2.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	589743739	         2.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	592031258	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	590870678	         2.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	589032100	         2.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591929047	         2.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591162730	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmpty/get-10                	591844748	         2.060 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append_nil-10          	82877935	        13.94 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82450142	        13.96 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82853140	        13.94 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82282420	        13.93 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82272554	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81977947	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81548280	        13.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	80539166	        13.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82156610	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82363372	        13.92 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82770990	        13.92 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81547360	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81953446	        14.23 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	80721108	        13.93 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81682662	        13.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	81880052	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	80973937	        14.09 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82623289	        13.95 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82161296	        13.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append_nil-10          	82327818	        13.93 ns/op	       8 B/op	       1 allocs/op
BenchmarkBool/append-10              	513621582	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	517944993	         2.129 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	575718816	         2.150 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	494704854	         2.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	581504989	         2.144 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	543651126	         2.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	484694914	         2.343 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	479127030	         2.168 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	470134232	         2.300 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	469073020	         2.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	507449553	         2.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	519523250	         2.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	547306992	         2.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	504888652	         2.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	502914985	         2.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	486579938	         2.258 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	481930210	         2.198 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	531555379	         2.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	548912695	         2.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/append-10              	552799873	         2.041 ns/op	       0 B/op	       0 allocs/op
